"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,We've evaluated our workload's reliability and resiliency and its ability to recover from failures.,,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"For maximum security, we apply the principle of Zero Trust.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We estimate, rationalize, and monitor the overall cost of our workload.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We've set up monitoring, we've automated build and release processes, and we've established clear roles for our Azure Virtual Desktop team to take on for governing and managing our workload.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,"We've enabled horizontal scaling, and we've run tests to evaluate load.",,,
Azure Virtual Desktop - Design principles,Have you evaluated your workload holistically by using the design principles of the Azure Well-Architected Framework pillars?,None of the above,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,We use a personal pool to give our users power to personalize their environment and work freely within a virtual machine (VM).,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,We use a pooled host pool to streamline our reliability solution and minimize costs.,,,
Azure Virtual Desktop - Application delivery,Have you considered how different types of host pools affect the cost and reliability of Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",We use breadth-first load balancing to quickly improve our user experience.,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",We use depth-first load balancing to reduce costs.,,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?","For scale-down scenarios, we use depth-first load balancing.",,,
Azure Virtual Desktop - Application delivery,"If you use a pooled host pool, have you considered how the load-balancing algorithm affects your cost efficiency and performance?",None of the above,,,
Azure Virtual Desktop - Application delivery,Do you use Azure Virtual Desktop scaling plans for session hosts?,We use scaling plans to help maximize cost efficiency by automatically turning hosts off and on.,,,
Azure Virtual Desktop - Application delivery,Do you use Azure Virtual Desktop scaling plans for session hosts?,We adjust the settings of our scaling plans to improve cost efficiency.,,,
Azure Virtual Desktop - Application delivery,Do you use Azure Virtual Desktop scaling plans for session hosts?,None of the above,,,
Azure Virtual Desktop - Application delivery,Do you place your session hosts in availability zones or availability sets?,"To minimize latency, we deploy session hosts close to our users.",,,
Azure Virtual Desktop - Application delivery,Do you place your session hosts in availability zones or availability sets?,We deploy session hosts in an availability zone or an availability set to help protect our environment from outages.,,,
Azure Virtual Desktop - Application delivery,Do you place your session hosts in availability zones or availability sets?,None of the above,,,
Azure Virtual Desktop - Application delivery,"When you choose a compute size, do you consider the various sizes, families, features, and options that Azure offers?","We look at the various compute sizes, families, and features that Azure offers, and we choose the option that optimizes the performance and cost efficiency of our workload.",,,
Azure Virtual Desktop - Application delivery,"When you choose a compute size, do you consider the various sizes, families, features, and options that Azure offers?","For our high-security workloads, we use virtual machines (VMs) in the DCasv5 or ECasv5 series.",,,
Azure Virtual Desktop - Application delivery,"When you choose a compute size, do you consider the various sizes, families, features, and options that Azure offers?","We use graphics-intensive applications, so we use NV-series VMs.",,,
Azure Virtual Desktop - Application delivery,"When you choose a compute size, do you consider the various sizes, families, features, and options that Azure offers?",None of the above,,,
Azure Virtual Desktop - Application delivery,Have you considered how your storage solution affects the performance of your virtual desktop?,"When we design our storage solution, we consider the maximum size, throughput, and I/O operations per second (IOPS) of the various types of Azure managed disks.",,,
Azure Virtual Desktop - Application delivery,Have you considered how your storage solution affects the performance of your virtual desktop?,We choose a type of managed disk that optimizes the performance and cost efficiency of our workload.,,,
Azure Virtual Desktop - Application delivery,Have you considered how your storage solution affects the performance of your virtual desktop?,None of the above,,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,We spread session hosts across different availability zones to improve availability.,,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,We spread out session hosts within availability zones.,,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,"We don't need to back up session host data or applications, so we use golden images that we save in a redundant fashion for disaster recovery.",,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,"We update session host data frequently, so we use backups for disaster recovery.",,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,We've performed a failure mode analysis on our environment to prepare for outages and help prevent them.,,,
Azure Virtual Desktop - Application delivery,How do you achieve high availability and disaster recovery for your workload?,None of the above,,,
Azure Virtual Desktop - Networking and connectivity,How have you designed your overall network infrastructure for Azure Virtual Desktop to help ensure reliable and high-speed internet connectivity for geographically distributed clients while maintaining an acceptable latency threshold and prioritizing Azure Virtual Desktop traffic over other network traffic?,We use the Azure Virtual Desktop Experience Estimator tool to gather estimated latency values.,,,
Azure Virtual Desktop - Networking and connectivity,How have you designed your overall network infrastructure for Azure Virtual Desktop to help ensure reliable and high-speed internet connectivity for geographically distributed clients while maintaining an acceptable latency threshold and prioritizing Azure Virtual Desktop traffic over other network traffic?,We test latencies from our Azure virtual networks to our on-premises systems.,,,
Azure Virtual Desktop - Networking and connectivity,How have you designed your overall network infrastructure for Azure Virtual Desktop to help ensure reliable and high-speed internet connectivity for geographically distributed clients while maintaining an acceptable latency threshold and prioritizing Azure Virtual Desktop traffic over other network traffic?,None of the above,,,
Azure Virtual Desktop - Networking and connectivity,Do any of your clients use a virtual private network (VPN) to connect to your virtual network?,"We have clients who use a point-to-site (P2S) VPN connection, and we use a split tunnel that's based on User Datagram Protocol (UDP).",,,
Azure Virtual Desktop - Networking and connectivity,Do any of your clients use a virtual private network (VPN) to connect to your virtual network?,We use Remote Desktop Protocol (RDP) Shortpath with a managed network for on-site clients who use a VPN or Azure ExpressRoute.,,,
Azure Virtual Desktop - Networking and connectivity,Do any of your clients use a virtual private network (VPN) to connect to your virtual network?,None of the above,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",We've reviewed best practices for connecting Azure virtual networks to on-premises systems.,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",We've tested latencies from our Azure virtual networks to our on-premises systems.,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",We've ensured that no overlapping IP addresses are used in our Azure Virtual Desktop landing zone.,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",We've given every Azure Virtual Desktop landing zone its own virtual network and subnet configuration.,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",We considered potential growth when we sized our Azure Virtual Desktop subnets.,,,
Azure Virtual Desktop - Networking and connectivity,"If you use hybrid networking, are you aware of the connectivity options that are available and their impact on performance?",None of the above,,,
Azure Virtual Desktop - Networking and connectivity,"When you use Azure Virtual Desktop in multiple regions, are you aware of networking factors that impact the architecture?",We replicate platform and shared services to each region whenever our internal policies allow it.,,,
Azure Virtual Desktop - Networking and connectivity,"When you use Azure Virtual Desktop in multiple regions, are you aware of networking factors that impact the architecture?","When possible, we use virtual machine (VM) SKUs that offer the accelerated networking feature.",,,
Azure Virtual Desktop - Networking and connectivity,"When you use Azure Virtual Desktop in multiple regions, are you aware of networking factors that impact the architecture?",We include end-user latency estimations in our region selection process.,,,
Azure Virtual Desktop - Networking and connectivity,"When you use Azure Virtual Desktop in multiple regions, are you aware of networking factors that impact the architecture?","When we estimate bandwidth requirements, we take workload types into account, and we monitor real-user connections.",,,
Azure Virtual Desktop - Networking and connectivity,"When you use Azure Virtual Desktop in multiple regions, are you aware of networking factors that impact the architecture?",None of the above,,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,We understand the configurations that are needed to use Azure Firewall in our deployment.,,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"To isolate our subnets and help control their traffic flows, we've created network security groups and application security groups to segment our Azure Virtual Desktop traffic.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"To avoid frequently updating network security rules, we use service tags instead of specific IP addresses for Azure services.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,We're familiar with the required URLs for Azure Virtual Desktop.,,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"We use forced tunneling to route traffic to a firewall or network virtual appliance (NVA), and we use a route table to allow Azure Virtual Desktop traffic to bypass the forced tunneling rule.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"We use private endpoints to help protect platform as a service (PaaS) solutions like Azure Files and Azure Key Vault, and we're aware of the cost of using private endpoints.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"To avoid using public IP addresses, we've adjusted the configuration options for Azure Private Link by disabling public endpoints for Azure Virtual Desktop control plane components and using private endpoints.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"We use Active Directory Domain Services (AD DS), and we've implemented strict firewall policies that are based on the traffic that's required across our domain.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,"To help protect our end users' access to the internet from Azure Virtual Desktop session hosts, we use Azure Firewall or network virtual appliance (NVA) web filtering.",,,
Azure Virtual Desktop - Networking and connectivity,What measures have you implemented to improve network security?,None of the above,,,
Azure Virtual Desktop - Networking and connectivity,Are you familiar with Azure Virtual Desktop name resolution requirements?,We understand how Azure Private Link works with Azure Virtual Desktop.,,,
Azure Virtual Desktop - Networking and connectivity,Are you familiar with Azure Virtual Desktop name resolution requirements?,We understand the Domain Name System (DNS) configurations that are needed for Azure private endpoints.,,,
Azure Virtual Desktop - Networking and connectivity,Are you familiar with Azure Virtual Desktop name resolution requirements?,None of the above,,,
Azure Virtual Desktop - Networking and connectivity,Do you use Remote Desktop Protocol (RDP) Shortpath to establish a User Datagram Protocol (UDP)-based connection between your clients and session hosts?,"To help improve latency and our end-user experience, we use RDP Shortpath.",,,
Azure Virtual Desktop - Networking and connectivity,Do you use Remote Desktop Protocol (RDP) Shortpath to establish a User Datagram Protocol (UDP)-based connection between your clients and session hosts?,We're aware of the availability of RDP Shortpath connection models.,,,
Azure Virtual Desktop - Networking and connectivity,Do you use Remote Desktop Protocol (RDP) Shortpath to establish a User Datagram Protocol (UDP)-based connection between your clients and session hosts?,We're aware of RDP Shortpath charges.,,,
Azure Virtual Desktop - Networking and connectivity,Do you use Remote Desktop Protocol (RDP) Shortpath to establish a User Datagram Protocol (UDP)-based connection between your clients and session hosts?,None of the above,,,
Azure Virtual Desktop - Monitoring,"Do you use Azure Service Health and Azure Resource Health to stay informed about the services, regions, and resources that your Azure Virtual Desktop workload uses?",We use Service Health to stay informed about the health of the Azure services and regions that we use.,,,
Azure Virtual Desktop - Monitoring,"Do you use Azure Service Health and Azure Resource Health to stay informed about the services, regions, and resources that your Azure Virtual Desktop workload uses?","We set up Service Health alerts so that we stay aware of service issues, planned maintenance, and other changes that might affect our Azure Virtual Desktop resources.",,,
Azure Virtual Desktop - Monitoring,"Do you use Azure Service Health and Azure Resource Health to stay informed about the services, regions, and resources that your Azure Virtual Desktop workload uses?",We use Resource Health to monitor our virtual machines (VMs) and storage solutions.,,,
Azure Virtual Desktop - Monitoring,"Do you use Azure Service Health and Azure Resource Health to stay informed about the services, regions, and resources that your Azure Virtual Desktop workload uses?",We set up Resource Health alerts.,,,
Azure Virtual Desktop - Monitoring,"Do you use Azure Service Health and Azure Resource Health to stay informed about the services, regions, and resources that your Azure Virtual Desktop workload uses?",None of the above,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We configure diagnostics data to be sent to Log Analytics.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?","We select from various options for configuring diagnostics settings, such as an Azure Virtual Desktop Insights configuration workbook, Azure Policy, the Azure portal, and a template.",,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We configure performance counters so that we have a record of how our system resources are used.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We use diagnostics tables in Log Analytics to query and analyze network information for Azure Virtual Desktop connections.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We monitor event logs for connection problems with the Azure Virtual Desktop agent.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We monitor the Azure storage solution that we use for hosting FSLogix profiles and App Attach shares.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",We monitor service usage to make sure our workload doesn't exceed limits.,,,
Azure Virtual Desktop - Monitoring,"How do you monitor the performance of your workload, its session hosts, and its storage solution?",None of the above,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We use Microsoft Defender for Cloud to manage vulnerabilities and to assess compliance with common frameworks.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We use Defender for Cloud to strengthen the overall security posture of our environment.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We collect Microsoft Entra ID authentication and audit logs.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We store security event logs from our Azure Virtual Desktop session hosts in a repository.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We update our Azure Virtual Desktop environment regularly.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,We conduct monthly compliance reporting.,,,
Azure Virtual Desktop - Monitoring,What measures do you take to strengthen the security posture of your environment?,None of the above,,,
Azure Virtual Desktop - Monitoring,What reporting tools do you use for your workload?,We use Azure Virtual Desktop Insights for reporting.,,,
Azure Virtual Desktop - Monitoring,What reporting tools do you use for your workload?,"We make custom dashboards, and we use Log Analytics tables and Resource Graph query results as data sources.",,,
Azure Virtual Desktop - Monitoring,What reporting tools do you use for your workload?,None of the above,,,
Azure Virtual Desktop - Monitoring,Do you use alerts to stay informed about Azure Virtual Desktop performance and security?,We use alerts to stay informed about Azure Virtual Desktop performance and security.,,,
Azure Virtual Desktop - Monitoring,Do you use alerts to stay informed about Azure Virtual Desktop performance and security?,"We configure alerts for various Azure Virtual Desktop events, diagnostics, and resources.",,,
Azure Virtual Desktop - Monitoring,Do you use alerts to stay informed about Azure Virtual Desktop performance and security?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,We define roles for the teams and individuals who manage Azure Virtual Desktop deployments.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,"We define Azure built-in roles to separate management responsibilities for host pools, application groups, and workspaces.",,,
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,We create a security group for each role.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),Do you use role-based access control (RBAC) and security groups to separate duties and limit access to Azure Virtual Desktop resources?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We restrict Windows Explorer access by hiding local and remote drive mappings to help prevent users from discovering sensitive information.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What measures do you take to improve the security of your session hosts?,We use AppLocker to prevent unwanted software from running on session hosts.,,,
